post_date,base_trading_day,title,sentiment,sentiment_score,sentiment_source,url,prev_close,base_close,base_day_intraday_%,T+1_%,T+5_%,T+10_%,T+20_%,max_gain_20d_%,max_draw_20d_%
2025-10-03,2025-10-03,"❤️ 因為這兩天 必需為了眼疾及流感跑醫院",neutral,0,input,https://www.cmoney.tw/forum/article/174103409,3285,3310,0.76,4.53,-7.1,1.36,0.91,7.1,-10.12
2025-10-01,2025-10-01,"❤️❤️ 用餐愉快",bullish,1,input,https://www.cmoney.tw/forum/article/174059756,3465,3395,-3,-3.24,3.53,-9.13,1.62,4.42,-12.37
2025-09-30,2025-09-30,"❤️❤️ 關鍵時刻",bullish,1,input,https://www.cmoney.tw/forum/article/174034419,3275,3465,6.13,-2.02,-0.58,-10.68,0.87,2.31,-14.14
2025-09-26,2025-09-26,"❤️ 大跌崩盤時發文",bearish,-1,input,https://www.cmoney.tw/forum/article/173996502,3370,3275,-1.8,5.8,5.65,-5.95,2.44,8.24,-9.16
2025-09-24,2025-09-24,"致 世芯版上 我最愛的粉絲們",bullish,1,input,https://www.cmoney.tw/forum/article/173949957,3700,3410,-8.33,-1.17,-3.67,-1.17,-10.12,3.96,-12.76
2025-09-24,2025-09-24,"悽悽慘慘 我當箭靶 愛罵愛酸 高興就好 早有預警 九月難做 大跌進場 否則休養",bullish,1,input,https://www.cmoney.tw/forum/article/173946161,3700,3410,-8.33,-1.17,-3.67,-1.17,-10.12,3.96,-12.76
2025-09-23,2025-09-23,"忽買忽賣 撲朔迷離 時不我予 沉潛休息 看似很弱 實則透強 台積獨強 其餘免談",neutral,0,input,https://www.cmoney.tw/forum/article/173923679,3760,3700,-2.89,-7.84,-8.24,-5,-17.16,0.54,-19.59
2025-09-22,2025-09-22,"❤️❤️❤️ 台北有風有雨",bullish,1,input,https://www.cmoney.tw/forum/article/173896366,3750,3760,0.27,-1.6,-7.85,-8.38,-16.22,1.73,-20.88
2025-09-18,2025-09-18,"針對今天世芯股價的弱勢",bullish,1,input,https://www.cmoney.tw/forum/article/173826668,3760,3720,-1.59,0.81,-9.41,-11.02,-9.81,4.3,-20.03
2025-09-17,2025-09-17,"今天是（雞湯文）➕（打氣文）➕（回顧文）",bullish,1,input,https://www.cmoney.tw/forum/article/173796777,3680,3760,2.04,-1.06,-9.31,-12.63,-13.96,3.19,-20.88
2025-09-16,2025-09-16,"❤️❤️ 除了之前",bearish,-1,input,https://www.cmoney.tw/forum/article/173771358,3725,3680,-1.08,2.17,0.54,-7.74,-16.17,5.43,-19.16
2025-09-12,2025-09-12,"今天 世芯的（弱勢）",bearish,-1,input,https://www.cmoney.tw/forum/article/173709276,3925,3790,-3.81,-1.72,-1.06,-13.59,-18.73,2.37,-21.5
2025-09-11,2025-09-11,"此刻 我最愛的粉絲們",bullish,1,input,https://www.cmoney.tw/forum/article/173680790,3940,3925,-0.63,-3.44,-5.22,-14.14,-21.66,0.38,-22.68
2025-09-10,2025-09-10,"無事不登三寶殿",bullish,1,input,https://www.cmoney.tw/forum/article/173654322,3915,3940,-0.25,-0.38,-4.57,-13.45,-14.47,1.02,-18.27
2025-09-08,2025-09-08,"希望沒打擾到大家",bullish,1,input,https://www.cmoney.tw/forum/article/173604720,3970,3975,-3.05,-1.51,-6.29,-5.41,-13.33,1.38,-18.99
2025-09-08,2025-09-08,"❤️❤️ 最近 我會比較忙",bullish,1,input,https://www.cmoney.tw/forum/article/173597066,3970,3975,-3.05,-1.51,-6.29,-5.41,-13.33,1.38,-18.99
2025-09-04,2025-09-04,"❤️❤️ 今天 又是個",neutral,0,input,https://www.cmoney.tw/forum/article/173531075,3980,3850,-5.06,3.12,1.95,-3.38,-14.03,6.49,-16.36
2025-09-03,2025-09-03,"❤️❤️ 如果有把我 最近頻繁發文的幾篇 （預告文）",neutral,0,input,https://www.cmoney.tw/forum/article/173498871,3845,3980,2.84,-3.27,-1.01,-5.53,-17.46,3.02,-19.1
2025-09-02,2025-09-02,"❤️❤️ 今天是9 月的第二天",bearish,-1,input,https://www.cmoney.tw/forum/article/173474594,3915,3845,-2.16,3.51,1.82,-4.29,-11.7,6.63,-16.25
2025-09-01,2025-09-01,"❤️❤️❤️ 上週三",bearish,-1,input,https://www.cmoney.tw/forum/article/173457705,4055,3915,-2.73,-1.79,1.53,-4.85,-11.49,4.73,-17.75
2025-08-31,2025-09-01,"❤️❤️❤️ 有學齡且未成年的小朋友之家長好朋友們",neutral,0,input,https://www.cmoney.tw/forum/article/173435236,4055,3915,-2.73,-1.79,1.53,-4.85,-11.49,4.73,-17.75
2025-08-29,2025-08-29,"提醒 ❤️❤️❤️ 我最愛的粉絲們",bullish,1,input,https://www.cmoney.tw/forum/article/173411910,4000,4055,-1.82,-3.45,-2.1,-6.54,-19.24,1.11,-20.35
2025-08-29,2025-08-29,"一早我就被 連串的（七夕情人節快樂）的Line 貼圖給吵醒",bullish,1,input,https://www.cmoney.tw/forum/article/173408058,4000,4055,-1.82,-3.45,-2.1,-6.54,-19.24,1.11,-20.35
2025-08-27,2025-08-27,"又站上4000 整數關卡了",bullish,1,input,https://www.cmoney.tw/forum/article/173357712,3980,4080,2.26,-1.96,-2.45,-3.43,-16.42,2.7,-17.4
2025-08-21,2025-08-21,"❤️❤️❤️",neutral,0,input,https://www.cmoney.tw/forum/article/173241758,3660,3785,2.85,-2.51,5.68,1.72,-1.72,10.7,-2.91
2025-08-13,2025-08-13,"我知道您們很焦急",neutral,0,input,https://www.cmoney.tw/forum/article/173078273,4075,4120,-0.6,3.16,-11.17,-0.97,-4.37,8.5,-11.77
